id,n_a,n_b,n_gold,明细数量,仲裁结果
12,13,24,10,10,"[{""label"":""食材"",""text"":""水""},{""label"":""食材"",""text"":""米""},{""label"":""食材"",""text"":""谷""},{""label"":""食材"",""text"":""鱼肉""},{""label"":""烹饪方法"",""text"":""炙""},{""label"":""烹饪方法"",""text"":""爆""},{""label"":""养生原则"",""text"":""调节颐养""},{""label"":""养生原则"",""text"":""以和于身""},{""label"":""脏腑"",""text"":""五脏""},{""label"":""禁忌"",""text"":""食不须多味""}]"
13,23,14,10,10,"[{""label"":""食材"",""text"":""蟹""},{""label"":""食材"",""text"":""酱蟹""},{""label"":""食材"",""text"":""糟蟹""},{""label"":""食材"",""text"":""醉蟹""},{""label"":""食材"",""text"":""麻丝""},{""label"":""食材"",""text"":""酱""},{""label"":""食材"",""text"":""酒""},{""label"":""烹饪方法"",""text"":""制""},{""label"":""烹饪方法"",""text"":""腌""},{""label"":""禁忌"",""text"":""忌火照""}]"
14,6,0,0,0,[]
15,31,32,25,25,"[{""label"":""食材"",""text"":""蟹""},{""label"":""食材"",""text"":""椒粒""},{""label"":""食材"",""text"":""姜""},{""label"":""食材"",""text"":""桔皮""},{""label"":""食材"",""text"":""盐""},{""label"":""食材"",""text"":""橙""},{""label"":""食材"",""text"":""醋""},{""label"":""食材"",""text"":""紫苏""},{""label"":""食材"",""text"":""冬瓜汁""},{""label"":""食材"",""text"":""柿子""},{""label"":""食材"",""text"":""苦酒""},{""label"":""食材"",""text"":""水莨""},{""label"":""烹饪方法"",""text"":""煮""},{""label"":""烹饪方法"",""text"":""捣""},{""label"":""功效"",""text"":""消食""},{""label"":""功效"",""text"":""治胃气""},{""label"":""功效"",""text"":""理经络""},{""label"":""功效"",""text"":""通利支节""},{""label"":""病症"",""text"":""霍乱""},{""label"":""病症"",""text"":""腹泻""},{""label"":""禁忌"",""text"":""蟹目相向者不可食""},{""label"":""禁忌"",""text"":""用酒者断不宜用酱""},{""label"":""医家"",""text"":""孟诜""},{""label"":""医家"",""text"":""陶隐居""},{""label"":""古籍来源"",""text"":""《食疗本草》""}]"
16,13,9,7,7,"[{""label"":""古籍来源"",""text"":""《尔雅》""},{""label"":""古籍来源"",""text"":""《说文》""},{""label"":""古籍来源"",""text"":""《齐民要术》""},{""label"":""医家"",""text"":""许慎""},{""label"":""医家"",""text"":""年希尧""},{""label"":""食材"",""text"":""野蔌山肴""},{""label"":""烹饪方法"",""text"":""和""}]"
17,19,19,16,17,"[{""label"":""古籍来源"",""text"":""《周礼》""},{""label"":""养生原则"",""text"":""饮以养阴""},{""label"":""养生原则"",""text"":""食以养阴""},{""label"":""食材"",""text"":""汗水""},{""label"":""食材"",""text"":""浊水""},{""label"":""食材"",""text"":""冰雪水""},{""label"":""食材"",""text"":""雪水""},{""label"":""禁忌"",""text"":""俱能伤人,不可饮""},{""label"":""食材"",""text"":""山泉""},{""label"":""食材"",""text"":""江湖水""},{""label"":""养生原则"",""text"":""水要无土性""},{""label"":""养生原则"",""text"":""得太阴亦多""},{""label"":""养生原则"",""text"":""故为养生第一""},{""label"":""食材"",""text"":""扬子江心""},{""label"":""食材"",""text"":""暴取水""},{""label"":""禁忌"",""text"":""赤不佳""},{""label"":""烹饪方法"",""text"":""藏水法""}]"
18,35,35,35,35,"[{""label"":""食材"",""text"":""鲞""},{""label"":""食材"",""text"":""宁波淡白鲞""},{""label"":""食材"",""text"":""黄鱼""},{""label"":""食材"",""text"":""虾粉""},{""label"":""食材"",""text"":""鲜鲫""},{""label"":""食材"",""text"":""甜酱""},{""label"":""食材"",""text"":""茴""},{""label"":""食材"",""text"":""椒末""},{""label"":""食材"",""text"":""柘枝""},{""label"":""食材"",""text"":""紫蔗皮""},{""label"":""食材"",""text"":""荔壳""},{""label"":""食材"",""text"":""松壳""},{""label"":""食材"",""text"":""鲜鱼""},{""label"":""食材"",""text"":""好肉汤""},{""label"":""食材"",""text"":""糟""},{""label"":""食材"",""text"":""酒""},{""label"":""食味"",""text"":""咸""},{""label"":""烹饪方法"",""text"":""切块""},{""label"":""烹饪方法"",""text"":""蒸熟""},{""label"":""烹饪方法"",""text"":""剃肉""},{""label"":""烹饪方法"",""text"":""细剿""},{""label"":""烹饪方法"",""text"":""珉骨""},{""label"":""烹饪方法"",""text"":""酥炙""},{""label"":""烹饪方法"",""text"":""焙燥""},{""label"":""烹饪方法"",""text"":""研粉""},{""label"":""烹饪方法"",""text"":""酱过""},{""label"":""烹饪方法"",""text"":""挣油烹""},{""label"":""烹饪方法"",""text"":""微晾""},{""label"":""烹饪方法"",""text"":""揩匀""},{""label"":""烹饪方法"",""text"":""薰之""},{""label"":""烹饪方法"",""text"":""煮熟""},{""label"":""烹饪方法"",""text"":""擦薰""},{""label"":""烹饪方法"",""text"":""腌过""},{""label"":""烹饪方法"",""text"":""日晒""},{""label"":""禁忌"",""text"":""黄枯鲞不堪用""}]"
19,11,2,2,2,"[{""label"":""病症"",""text"":""伤脾""},{""label"":""病症"",""text"":""伤血""}]"
20,14,13,13,13,"[{""label"":""食材"",""text"":""猪""},{""label"":""食材"",""text"":""鱼""},{""label"":""食材"",""text"":""鸡""},{""label"":""食材"",""text"":""蟹""},{""label"":""食材"",""text"":""山药""},{""label"":""食材"",""text"":""百合""},{""label"":""食材"",""text"":""羊眼豆""},{""label"":""食性"",""text"":""寒""},{""label"":""病症"",""text"":""腹痛""},{""label"":""烹饪方法"",""text"":""煮""},{""label"":""烹饪方法"",""text"":""蒸""},{""label"":""禁忌"",""text"":""不可多食""},{""label"":""古籍来源"",""text"":""《混俗颐生论》""}]"
21,26,43,27,27,"[{""label"":""医家"",""text"":""朱彝尊""},{""label"":""古籍来源"",""text"":""《食宪鸿秘》""},{""label"":""古籍来源"",""text"":""《曝书亭集》""},{""label"":""食材"",""text"":""金华火腿""},{""label"":""食材"",""text"":""笋""},{""label"":""食材"",""text"":""乳制品""},{""label"":""食材"",""text"":""面筋""},{""label"":""食材"",""text"":""笄豆""},{""label"":""食材"",""text"":""鱼""},{""label"":""食材"",""text"":""鲫鱼""},{""label"":""食材"",""text"":""鸭""},{""label"":""食材"",""text"":""鸡""},{""label"":""食材"",""text"":""熊掌""},{""label"":""食材"",""text"":""松子""},{""label"":""食材"",""text"":""海嘤嘶""},{""label"":""食材"",""text"":""黄雀""},{""label"":""食材"",""text"":""鹅蛋""},{""label"":""食材"",""text"":""蟹""},{""label"":""烹饪方法"",""text"":""煮""},{""label"":""烹饪方法"",""text"":""糟""},{""label"":""烹饪方法"",""text"":""辣拌""},{""label"":""烹饪方法"",""text"":""制""},{""label"":""食疗方"",""text"":""煮火飓""},{""label"":""食疗方"",""text"":""东坡腿""},{""label"":""食疗方"",""text"":""熟火腿""},{""label"":""食疗方"",""text"":""鱼饼""},{""label"":""食疗方"",""text"":""蔡肉丸""}]"
22,37,11,25,25,"[{""label"":""古籍来源"",""text"":""周礼""},{""label"":""古籍来源"",""text"":""礼记""},{""label"":""食材"",""text"":""六谷""},{""label"":""食材"",""text"":""六牲""},{""label"":""食材"",""text"":""黍""},{""label"":""食材"",""text"":""稷""},{""label"":""食材"",""text"":""粱""},{""label"":""食材"",""text"":""麦""},{""label"":""食材"",""text"":""稻""},{""label"":""食材"",""text"":""菰米""},{""label"":""食材"",""text"":""菽""},{""label"":""食材"",""text"":""马""},{""label"":""食材"",""text"":""牛""},{""label"":""食材"",""text"":""羊""},{""label"":""食材"",""text"":""豕""},{""label"":""食材"",""text"":""犬""},{""label"":""食材"",""text"":""鸡""},{""label"":""食材"",""text"":""百羞""},{""label"":""食材"",""text"":""百酱""},{""label"":""食材"",""text"":""雁翠""},{""label"":""食材"",""text"":""鸡肝""},{""label"":""医家"",""text"":""郑玄""},{""label"":""医家"",""text"":""郑众""},{""label"":""养生原则"",""text"":""饮食和季书结合起来""},{""label"":""禁忌"",""text"":""雏尾不盈握。弗食""}]"
23,33,14,10,10,"[{""label"":""食材"",""text"":""含桃""},{""label"":""食材"",""text"":""黍""},{""label"":""食材"",""text"":""韭""},{""label"":""食材"",""text"":""鲭""},{""label"":""食材"",""text"":""人乳""},{""label"":""古籍来源"",""text"":""礼记""},{""label"":""古籍来源"",""text"":""论语""},{""label"":""古籍来源"",""text"":""南齐书""},{""label"":""古籍来源"",""text"":""晋书""},{""label"":""医家"",""text"":""朱彝尊""}]"
24,16,14,12,12,"[{""label"":""病症"",""text"":""中暑""},{""label"":""病症"",""text"":""昏迷""},{""label"":""病症"",""text"":""虚脱""},{""label"":""病症"",""text"":""昏厥""},{""label"":""病症"",""text"":""狂躁""},{""label"":""病症"",""text"":""急性扭伤""},{""label"":""病症"",""text"":""体温高""},{""label"":""病症"",""text"":""四肢疲乏""},{""label"":""病症"",""text"":""胸闷""},{""label"":""病症"",""text"":""恶心""},{""label"":""功效"",""text"":""开窍醒神""},{""label"":""功效"",""text"":""镇静宁神""}]"
26,58,35,40,40,"[{""label"":""病症"",""text"":""恶寒""},{""label"":""病症"",""text"":""无汗""},{""label"":""病症"",""text"":""紧脉""},{""label"":""病症"",""text"":""筋脉拘急""},{""label"":""病症"",""text"":""关节屈伸不利""},{""label"":""病症"",""text"":""伤寒""},{""label"":""病症"",""text"":""发热""},{""label"":""病症"",""text"":""头项强痛""},{""label"":""病症"",""text"":""身痛""},{""label"":""病症"",""text"":""脉浮紧""},{""label"":""病症"",""text"":""寒痹""},{""label"":""病症"",""text"":""关节疼痛""},{""label"":""病症"",""text"":""四肢拘急""},{""label"":""病症"",""text"":""屈伸不利""},{""label"":""病症"",""text"":""中寒""},{""label"":""病症"",""text"":""腹痛腹泻""},{""label"":""病症"",""text"":""肠鸣""},{""label"":""病症"",""text"":""呕吐清水""},{""label"":""病症"",""text"":""内寒""},{""label"":""病症"",""text"":""畏寒肢冷""},{""label"":""病症"",""text"":""气短""},{""label"":""病症"",""text"":""唇青""},{""label"":""病症"",""text"":""纳差""},{""label"":""病症"",""text"":""小便频数""},{""label"":""病症"",""text"":""腹胀便溏""},{""label"":""病症"",""text"":""阳痿""},{""label"":""病症"",""text"":""带下清稀""},{""label"":""病症"",""text"":""脘腹冷痛""},{""label"":""病症"",""text"":""呕吐""},{""label"":""病症"",""text"":""脉微细""},{""label"":""养生原则"",""text"":""阴盛则寒""},{""label"":""养生原则"",""text"":""阴盛则阳病""},{""label"":""脏腑"",""text"":""脾""},{""label"":""脏腑"",""text"":""心""},{""label"":""脏腑"",""text"":""肾""},{""label"":""脏腑"",""text"":""胃""},{""label"":""食性"",""text"":""寒""},{""label"":""食性"",""text"":""热""},{""label"":""食性"",""text"":""温""},{""label"":""食性"",""text"":""辛""}]"
27,39,25,30,30,"[{""label"":""病症"",""text"":""喜则气缓""},{""label"":""病症"",""text"":""神不守舍""},{""label"":""病症"",""text"":""精神无法集中""},{""label"":""病症"",""text"":""心神恍惚""},{""label"":""病症"",""text"":""怒则气上""},{""label"":""病症"",""text"":""眩晕头痛""},{""label"":""病症"",""text"":""面赤""},{""label"":""病症"",""text"":""耳鸣""},{""label"":""病症"",""text"":""昏厥""},{""label"":""病症"",""text"":""悲则气消""},{""label"":""病症"",""text"":""形体憔悴""},{""label"":""病症"",""text"":""毛发枯萎""},{""label"":""病症"",""text"":""精神不振""},{""label"":""病症"",""text"":""生气索然""},{""label"":""病症"",""text"":""恐则气下""},{""label"":""病症"",""text"":""气泄于下""},{""label"":""病症"",""text"":""精滑遗泄""},{""label"":""病症"",""text"":""惊则气乱""},{""label"":""病症"",""text"":""惊厥""},{""label"":""病症"",""text"":""失精""},{""label"":""病症"",""text"":""思则气结""},{""label"":""病症"",""text"":""气机郁结""},{""label"":""病症"",""text"":""心悸少寐""},{""label"":""病症"",""text"":""不欲饮食""},{""label"":""脏腑"",""text"":""心""},{""label"":""脏腑"",""text"":""肝""},{""label"":""脏腑"",""text"":""肺""},{""label"":""脏腑"",""text"":""肾""},{""label"":""脏腑"",""text"":""脾""},{""label"":""古籍来源"",""text"":""《内经》""}]"
28,59,21,21,21,"[{""label"":""功效"",""text"":""醒脑开窍""},{""label"":""功效"",""text"":""疏风清热""},{""label"":""功效"",""text"":""镇痈通络""},{""label"":""病症"",""text"":""头面五官疾患""},{""label"":""病症"",""text"":""热疖""},{""label"":""病症"",""text"":""无汗""},{""label"":""病症"",""text"":""自汗""},{""label"":""病症"",""text"":""盗汗""},{""label"":""病症"",""text"":""经闭""},{""label"":""病症"",""text"":""滞产""},{""label"":""病症"",""text"":""昏迷""},{""label"":""病症"",""text"":""癫痫""},{""label"":""病症"",""text"":""痹症""},{""label"":""功效"",""text"":""清热利湿""},{""label"":""功效"",""text"":""祛风解表""},{""label"":""功效"",""text"":""调和蒈卫""},{""label"":""病症"",""text"":""上肢不遂""},{""label"":""病症"",""text"":""高血压""},{""label"":""病症"",""text"":""咽喉肿痛""},{""label"":""功效"",""text"":""清热散风""},{""label"":""功效"",""text"":""通鼻窍""}]"
29,49,34,49,49,"[{""label"":""病症"",""text"":""气盛""},{""label"":""病症"",""text"":""阴气盛""},{""label"":""病症"",""text"":""阳气盛""},{""label"":""病症"",""text"":""阴阳俱盛""},{""label"":""病症"",""text"":""上盛""},{""label"":""病症"",""text"":""下盛""},{""label"":""病症"",""text"":""甚饥""},{""label"":""病症"",""text"":""甚饱""},{""label"":""病症"",""text"":""肝气盛""},{""label"":""病症"",""text"":""肺气盛""},{""label"":""病症"",""text"":""心气盛""},{""label"":""病症"",""text"":""脾气盛""},{""label"":""病症"",""text"":""肾气盛""},{""label"":""病症"",""text"":""短虫多""},{""label"":""病症"",""text"":""长虫多""},{""label"":""古籍来源"",""text"":""《内经》""},{""label"":""古籍来源"",""text"":""《灵枢.淫邪发梦篇》""},{""label"":""病症"",""text"":""梦涉大水""},{""label"":""病症"",""text"":""梦大火燔灼""},{""label"":""病症"",""text"":""梦相杀""},{""label"":""病症"",""text"":""梦飞""},{""label"":""病症"",""text"":""梦堕""},{""label"":""病症"",""text"":""梦予""},{""label"":""病症"",""text"":""眩晕""},{""label"":""病症"",""text"":""耳鸣""},{""label"":""病症"",""text"":""头痛""},{""label"":""病症"",""text"":""梦见哭泣""},{""label"":""病症"",""text"":""恐惧""},{""label"":""病症"",""text"":""梦见喜笑畏怯""},{""label"":""病症"",""text"":""梦见腰脊分离而又相连接""},{""label"":""病症"",""text"":""梦见众人聚集""},{""label"":""病症"",""text"":""梦见打架""},{""label"":""病症"",""text"":""损伤""},{""label"":""病症"",""text"":""梦怒""},{""label"":""病症"",""text"":""飞扬""},{""label"":""病症"",""text"":""梦歌乐""},{""label"":""病症"",""text"":""身体重不举""},{""label"":""病症"",""text"":""梦腰脊两解不属""},{""label"":""脏腑"",""text"":""五脏""},{""label"":""病症"",""text"":""心血不足""},{""label"":""病症"",""text"":""心肾不交""},{""label"":""病症"",""text"":""心虚胆怯""},{""label"":""病症"",""text"":""心火旺盛""},{""label"":""功效"",""text"":""益气安神""},{""label"":""功效"",""text"":""养血安神""},{""label"":""功效"",""text"":""交通心肾""},{""label"":""功效"",""text"":""壮胆镇惊""},{""label"":""功效"",""text"":""安神定志""},{""label"":""功效"",""text"":""清心泻火""}]"
