review_id,sample_id,head_text,head_type,head_start,head_end,relation,tail_text,tail_type,tail_start,tail_end,expert1_decision,expert1_evidence,expert1_notes,expert2_decision,expert2_evidence,expert2_notes,agreement_status,final_decision,final_source,final_evidence_or_reason,candidate_key_json
REL-0256317AC068D75B,HR-0430,酒,食疗方,61,62,usesCookingMethod,蒸,烹饪方法,589,590,present,。柰香新祛 鸡。酒蒸鸡。炒鸡蕈。五味焙鸡。鹅,,present,。柰香新祛 鸡。酒蒸鸡。炒鸡蕈。五味焙鸡。鹅,,agreement,present,two_expert_agreement,Expert 1 and Expert 2 agreed; auto-accepted.,"[""HR-0430"",61,62,""酒"",""食疗方"",""usesCookingMethod"",589,590,""蒸"",""烹饪方法""]"
REL-02729BE345AA6BA1,HR-0265,姜,食材,40,41,hasEffect,温中,功效,297,299,present,成分相同。因其含姜辣蓁等成分。故有辛香气。故地 可以作调味料用。入药。能温中逯寒。回阳通豚。 胸膈咳,关系方向与当前条目结构一致。,present,成分相同。因其含姜辣蓁等成分。故有辛香气。故地 可以作调味料用。入药。能温中逯寒。回阳通豚。 胸膈咳,,agreement,present,two_expert_agreement,Expert 1 and Expert 2 agreed; auto-accepted.,"[""HR-0265"",40,41,""姜"",""食材"",""hasEffect"",297,299,""温中"",""功效""]"
REL-0286A97A311AFC37,HR-0413,油,食材,15,16,hasFlavor,甘,食味,286,287,present,"油依然没有影响。 肉腩: 肉干。关于这只菜的较早歌诀,见元明之际无名氏编的<居 家必用事类全巢>。名",关系方向与当前条目结构一致。,present,"油依然没有影响。 肉腩: 肉干。关于这只菜的较早歌诀,见元明之际无名氏编的<居 家必用事类全巢>。名",,agreement,present,two_expert_agreement,Expert 1 and Expert 2 agreed; auto-accepted.,"[""HR-0413"",15,16,""油"",""食材"",""hasFlavor"",286,287,""甘"",""食味""]"
REL-03B7D1EBD34F60FC,HR-0167,大麦,食材,210,212,hasFlavor,辛,食味,36,37,absent,,当前段落未提供足够的谓词或配方结构支持。,absent,,候选方向与原文语义不一致。,agreement,absent,two_expert_agreement,Expert 1 and Expert 2 agreed; auto-accepted.,"[""HR-0167"",210,212,""大麦"",""食材"",""hasFlavor"",36,37,""辛"",""食味""]"
REL-0408453F367DD2B7,HR-0315,水,食材,28,29,hasFlavor,淡,食味,305,306,absent,,尾实体属于相邻条目或另一语义单元。,absent,,候选方向与原文语义不一致。,agreement,absent,two_expert_agreement,Expert 1 and Expert 2 agreed; auto-accepted.,"[""HR-0315"",28,29,""水"",""食材"",""hasFlavor"",305,306,""淡"",""食味""]"
REL-041BBCEF8AE30D55,HR-0265,姜,食材,8,9,hasNature,温,食性,13,14,present,"干 姜 . 千姜@咪辛。温,热。无毒。尘胸膈咳逆@",,present,"干 姜 . 千姜@咪辛。温,热。无毒。尘胸膈咳逆@",,agreement,present,two_expert_agreement,Expert 1 and Expert 2 agreed; auto-accepted.,"[""HR-0265"",8,9,""姜"",""食材"",""hasNature"",13,14,""温"",""食性""]"
REL-04316399534E49FD,HR-0018,看时候方,食疗方,32,36,usesCookingMethod,浸,烹饪方法,169,170,absent,,当前段落未提供足够的谓词或配方结构支持。,absent,,当前段落未提供足够的谓词或配方结构支持。,agreement,absent,two_expert_agreement,Expert 1 and Expert 2 agreed; auto-accepted.,"[""HR-0018"",32,36,""看时候方"",""食疗方"",""usesCookingMethod"",169,170,""浸"",""烹饪方法""]"
REL-048FD9C539BCB065,HR-0427,盐,食材,176,177,recordedInText,《礼记》,古籍来源,118,122,absent,,候选方向与原文语义不一致。,absent,,当前段落未提供足够的谓词或配方结构支持。,agreement,absent,two_expert_agreement,Expert 1 and Expert 2 agreed; auto-accepted.,"[""HR-0427"",176,177,""盐"",""食材"",""recordedInText"",118,122,""《礼记》"",""古籍来源""]"
REL-0493BF7AAC1E6CC3,HR-0373,用灰汤,食疗方,42,45,containsIngredient,酒,食材,11,12,absent,,尾实体属于相邻条目或另一语义单元。,absent,,两实体仅在同段出现，未见直接关系表达。,agreement,absent,two_expert_agreement,Expert 1 and Expert 2 agreed; auto-accepted.,"[""HR-0373"",42,45,""用灰汤"",""食疗方"",""containsIngredient"",11,12,""酒"",""食材""]"
REL-04E858A6E9082E92,HR-0298,逐旋散,食疗方,451,454,usesCookingMethod,拌,烹饪方法,364,365,present,拌。千湿得所。捣六 七舀杵。圆如鸡子大@ 。中心捺一窍。以自药为衣。稗草去 !。觑天气寒暖。盖闭一二,,absent,,当前段落未提供足够的谓词或配方结构支持。,disagreement,present,third_expert_adjudication,拌。千湿得所。捣六 七舀杵。圆如鸡子大@ 。中心捺一窍。以自药为衣。稗草去 !。觑天气寒暖。盖闭一二；原文中头尾实体位于同一语义单元，关系方向“usesCookingMethod”有直接文字或条目结构支持。 两位专家原判断分别为 present / absent，最终以冻结原文和实体边界复核结果为准。,"[""HR-0298"",451,454,""逐旋散"",""食疗方"",""usesCookingMethod"",364,365,""拌"",""烹饪方法""]"
REL-0502D9F309EB9AE0,HR-0268,《嘉祜本草》,古籍来源,103,109,authoredBy,孟诜,医家,162,164,absent,,当前段落未提供足够的谓词或配方结构支持。,absent,,两实体仅在同段出现，未见直接关系表达。,agreement,absent,two_expert_agreement,Expert 1 and Expert 2 agreed; auto-accepted.,"[""HR-0268"",103,109,""《嘉祜本草》"",""古籍来源"",""authoredBy"",162,164,""孟诜"",""医家""]"
REL-0507108909838E69,HR-0224,宜食榆白皮索饼方,食疗方,168,176,usesCookingMethod,煮,烹饪方法,68,69,present,"宜食榆白皮索饼方"" 《经钮堂抄本》无 ""榆皮索饼"" 四字。 @用水三升,煮",,present,"宜食榆白皮索饼方"" 《经钮堂抄本》无 ""榆皮索饼"" 四字。 @用水三升,煮",,agreement,present,two_expert_agreement,Expert 1 and Expert 2 agreed; auto-accepted.,"[""HR-0224"",168,176,""宜食榆白皮索饼方"",""食疗方"",""usesCookingMethod"",68,69,""煮"",""烹饪方法""]"
REL-0509929E609C8D8E,HR-0426,瓜,食材,94,95,hasNature,温,食性,78,79,absent,,两实体仅在同段出现，未见直接关系表达。,absent,,当前段落未提供足够的谓词或配方结构支持。,agreement,absent,two_expert_agreement,Expert 1 and Expert 2 agreed; auto-accepted.,"[""HR-0426"",94,95,""瓜"",""食材"",""hasNature"",78,79,""温"",""食性""]"
REL-05E6CC36E96131F7,HR-0427,千金方,食疗方,400,403,recordedInText,《本草》,古籍来源,130,134,absent,,当前段落未提供足够的谓词或配方结构支持。,absent,,尾实体属于相邻条目或另一语义单元。,agreement,absent,two_expert_agreement,Expert 1 and Expert 2 agreed; auto-accepted.,"[""HR-0427"",400,403,""千金方"",""食疗方"",""recordedInText"",130,134,""《本草》"",""古籍来源""]"
REL-06E6F956241F0112,HR-0420,水,食材,183,184,recordedInText,《释名`释疾瘀》,古籍来源,394,402,absent,,候选方向与原文语义不一致。,absent,,当前段落未提供足够的谓词或配方结构支持。,agreement,absent,two_expert_agreement,Expert 1 and Expert 2 agreed; auto-accepted.,"[""HR-0420"",183,184,""水"",""食材"",""recordedInText"",394,402,""《释名`释疾瘀》"",""古籍来源""]"
REL-07328CF065D76864,HR-0344,又捏破捏散,食疗方,438,443,usesCookingMethod,浸,烹饪方法,345,346,present,"浸馈饭。 让馈饭 将泔讣吸尽。重新装进甑去。再炊一众, 作戌再馏饭。 挤再谮饭倒出来。掸掉热气。到和",,present,"浸馈饭。 让馈饭 将泔讣吸尽。重新装进甑去。再炊一众, 作戌再馏饭。 挤再谮饭倒出来。掸掉热气。到和",,agreement,present,two_expert_agreement,Expert 1 and Expert 2 agreed; auto-accepted.,"[""HR-0344"",438,443,""又捏破捏散"",""食疗方"",""usesCookingMethod"",345,346,""浸"",""烹饪方法""]"
REL-0735D9D48EE52AE5,HR-0018,少少饮,食疗方,78,81,containsIngredient,酒,食材,98,99,present,"汁,依常法以作 酒。少少饮之。〉作散服尤佳。 枸杞",,present,"汁,依常法以作 酒。少少饮之。〉作散服尤佳。 枸杞",依据局部原文直接判断。,agreement,present,two_expert_agreement,Expert 1 and Expert 2 agreed; auto-accepted.,"[""HR-0018"",78,81,""少少饮"",""食疗方"",""containsIngredient"",98,99,""酒"",""食材""]"
REL-075BA28A860CE005,HR-0331,豆腐,食材,187,189,hasFlavor,甘,食味,5,6,present,菖蒲@者忌之。 豆腐 味甘咸。性寒。多食动气作泻。,依据局部原文直接判断。,present,菖蒲@者忌之。 豆腐 味甘咸。性寒。多食动气作泻。,,agreement,present,two_expert_agreement,Expert 1 and Expert 2 agreed; auto-accepted.,"[""HR-0331"",187,189,""豆腐"",""食材"",""hasFlavor"",5,6,""甘"",""食味""]"
REL-075F14440B076821,HR-0315,选用食料的方,食疗方,44,50,usesCookingMethod,炒,烹饪方法,90,91,present,"汤莱。 译文] 选用食料的方法,小炒肉用后腿紧靠坐臀的肉,制",关系方向与当前条目结构一致。,present,"汤莱。 译文] 选用食料的方法,小炒肉用后腿紧靠坐臀的肉,制",,agreement,present,two_expert_agreement,Expert 1 and Expert 2 agreed; auto-accepted.,"[""HR-0315"",44,50,""选用食料的方"",""食疗方"",""usesCookingMethod"",90,91,""炒"",""烹饪方法""]"
REL-07914434A4202E3D,HR-0336,疮,病症,53,54,affectsOrgan,小肠,脏腑,284,286,insufficient_context,,OCR噪声影响关键谓词或条目边界判断。,insufficient_context,,OCR噪声影响关键谓词或条目边界判断。,agreement,insufficient_context,two_expert_agreement,Expert 1 and Expert 2 agreed; auto-accepted.,"[""HR-0336"",53,54,""疮"",""病症"",""affectsOrgan"",284,286,""小肠"",""脏腑""]"
REL-091EB8EC5D6D2A31,HR-0420,水,食材,183,184,hasNature,平,食性,243,244,absent,,两实体仅在同段出现，未见直接关系表达。,absent,,两实体仅在同段出现，未见直接关系表达。,agreement,absent,two_expert_agreement,Expert 1 and Expert 2 agreed; auto-accepted.,"[""HR-0420"",183,184,""水"",""食材"",""hasNature"",243,244,""平"",""食性""]"
REL-093FDC1DCEA9A851,HR-0426,瓜,食材,94,95,recordedInText,《食经》,古籍来源,209,213,present,气尽。可食之。 《食经》藏越瓜法:糟一斗。盐三升。掩瓜,实体边界虽有排版噪声，但关系证据明确。,present,气尽。可食之。 《食经》藏越瓜法:糟一斗。盐三升。掩瓜,,agreement,present,two_expert_agreement,Expert 1 and Expert 2 agreed; auto-accepted.,"[""HR-0426"",94,95,""瓜"",""食材"",""recordedInText"",209,213,""《食经》"",""古籍来源""]"
REL-096477E4C8EE53A6,HR-0420,水,食材,183,184,treats,咳嗽,病症,75,77,absent,,尾实体属于相邻条目或另一语义单元。,absent,,尾实体属于相邻条目或另一语义单元。,agreement,absent,two_expert_agreement,Expert 1 and Expert 2 agreed; auto-accepted.,"[""HR-0420"",183,184,""水"",""食材"",""treats"",75,77,""咳嗽"",""病症""]"
REL-09C424F08B8929AA,HR-0160,每日空心白汤,食疗方,169,175,containsIngredient,水,食材,82,83,present,水 调好。空腹吃。如果加入酥油。更美。 山药汤'{; 补虚。益气。漏中。润肺。 山药一斤。煮熟; 粟,依据局部原文直接判断。,absent,,尾实体属于相邻条目或另一语义单元。,disagreement,absent,third_expert_adjudication,给定食疗方与食材未形成明确配方归属，存在跨条目或仅共现情形；因此判定为 absent。 两位专家原判断分别为 present / absent，最终以冻结原文和实体边界复核结果为准。,"[""HR-0160"",169,175,""每日空心白汤"",""食疗方"",""containsIngredient"",82,83,""水"",""食材""]"
REL-0A401B20CF5C338A,HR-0018,水,食材,163,164,hasFlavor,苦,食味,303,304,present,"水数浸曲,即用米五大斗炊饭,熟讫,取生 地黄细切-斗。捣如泥和下。笫二骰用米五斗炊饭,取牛蒡 艰细切",,present,"水数浸曲,即用米五大斗炊饭,熟讫,取生 地黄细切-斗。捣如泥和下。笫二骰用米五斗炊饭,取牛蒡 艰细切",依据局部原文直接判断。,agreement,present,two_expert_agreement,Expert 1 and Expert 2 agreed; auto-accepted.,"[""HR-0018"",163,164,""水"",""食材"",""hasFlavor"",303,304,""苦"",""食味""]"
REL-0A8860BF880168B8,HR-0438,仍煮粥,食疗方,166,169,usesCookingMethod,蒸,烹饪方法,229,230,present,"仍煮粥充饥。可想见 其席之丰而不洁@矣。 荫朝孔琳之曰: 4 今入好用多- 品,适口之外,皆为悦目之",,present,"仍煮粥充饥。可想见 其席之丰而不洁@矣。 荫朝孔琳之曰: 4 今入好用多- 品,适口之外,皆为悦目之",,agreement,present,two_expert_agreement,Expert 1 and Expert 2 agreed; auto-accepted.,"[""HR-0438"",166,169,""仍煮粥"",""食疗方"",""usesCookingMethod"",229,230,""蒸"",""烹饪方法""]"
REL-0AD50687497999EB,HR-0344,醋,食材,133,134,hasNature,凉,食性,557,558,absent,,当前段落未提供足够的谓词或配方结构支持。,absent,,候选方向与原文语义不一致。,agreement,absent,two_expert_agreement,Expert 1 and Expert 2 agreed; auto-accepted.,"[""HR-0344"",133,134,""醋"",""食材"",""hasNature"",557,558,""凉"",""食性""]"
REL-0AE26ADAC782B382,HR-0400,垂用鸡迈鼙菇汤,食疗方,250,257,recordedInText,"《松菌生。 松菌采无时。
《谱》",古籍来源,41,57,entity_or_type_error,,尾实体边界疑似跨越两个文献或条目单位。,entity_or_type_error,,给定实体边界包含多余文本，无法按当前关系有效判断。,agreement,entity_or_type_error,two_expert_agreement,Expert 1 and Expert 2 agreed; auto-accepted.,"[""HR-0400"",250,257,""垂用鸡迈鼙菇汤"",""食疗方"",""recordedInText"",41,57,""《松菌生。松菌采无时。《谱》"",""古籍来源""]"
REL-0B037210FF473B56,HR-0375,曹子方,食疗方,331,334,recordedInText,《番禺记》,古籍来源,158,163,absent,,当前段落未提供足够的谓词或配方结构支持。,absent,,尾实体属于相邻条目或另一语义单元。,agreement,absent,two_expert_agreement,Expert 1 and Expert 2 agreed; auto-accepted.,"[""HR-0375"",331,334,""曹子方"",""食疗方"",""recordedInText"",158,163,""《番禺记》"",""古籍来源""]"
REL-0B069B79254DDF9E,HR-0375,曹子方,食疗方,331,334,usesCookingMethod,煎,烹饪方法,381,382,present,"曹子方:人名。 子鱼:又名鲚鱼 凤尾鱼,刀鱼,毛花鱼等 ,体长 15-30厘米。《本 草纲目》说""鲚",,present,"曹子方:人名。 子鱼:又名鲚鱼 凤尾鱼,刀鱼,毛花鱼等 ,体长 15-30厘米。《本 草纲目》说""鲚",,agreement,present,two_expert_agreement,Expert 1 and Expert 2 agreed; auto-accepted.,"[""HR-0375"",331,334,""曹子方"",""食疗方"",""usesCookingMethod"",381,382,""煎"",""烹饪方法""]"
REL-0B2BC9B52DC6DF75,HR-0320,水,食材,53,54,recordedInText,《诗经》,古籍来源,220,224,insufficient_context,,OCR噪声影响关键谓词或条目边界判断。,insufficient_context,,OCR噪声影响关键谓词或条目边界判断。,agreement,insufficient_context,two_expert_agreement,Expert 1 and Expert 2 agreed; auto-accepted.,"[""HR-0320"",53,54,""水"",""食材"",""recordedInText"",220,224,""《诗经》"",""古籍来源""]"
REL-0B3F02E12AD835E7,HR-0271,醋,食材,37,38,recordedInText,"《孟诜曰""补入。又
苏颂《本草图经》",古籍来源,135,153,entity_or_type_error,,尾实体边界疑似跨越两个文献或条目单位。,entity_or_type_error,,给定实体边界包含多余文本，无法按当前关系有效判断。,agreement,entity_or_type_error,two_expert_agreement,Expert 1 and Expert 2 agreed; auto-accepted.,"[""HR-0271"",37,38,""醋"",""食材"",""recordedInText"",135,153,""《孟诜曰\""补入。又苏颂《本草图经》"",""古籍来源""]"
REL-0B3F205B354D545E,HR-0413,酒尽醋干方,食疗方,277,282,usesCookingMethod,煮,烹饪方法,8,9,absent,,尾实体属于相邻条目或另一语义单元。,absent,,两实体仅在同段出现，未见直接关系表达。,agreement,absent,two_expert_agreement,Expert 1 and Expert 2 agreed; auto-accepted.,"[""HR-0413"",277,282,""酒尽醋干方"",""食疗方"",""usesCookingMethod"",8,9,""煮"",""烹饪方法""]"
REL-0BA47BB99A30F112,HR-0375,曹子方,食疗方,331,334,recordedInText,《山谷巢》,古籍来源,312,317,present,。鄂州知事。有 《山谷巢》茸书《廉颇蔺相如列传》等。 曹子方:人名。 子鱼:又名鲚鱼,关系方向与当前条目结构一致。,present,。鄂州知事。有 《山谷巢》茸书《廉颇蔺相如列传》等。 曹子方:人名。 子鱼:又名鲚鱼,实体边界虽有排版噪声，但关系证据明确。,agreement,present,two_expert_agreement,Expert 1 and Expert 2 agreed; auto-accepted.,"[""HR-0375"",331,334,""曹子方"",""食疗方"",""recordedInText"",312,317,""《山谷巢》"",""古籍来源""]"
REL-0C4E3D07DEDF8736,HR-0394,姜,食材,175,176,recordedInText,《拔掉》,古籍来源,397,401,absent,,候选方向与原文语义不一致。,absent,,当前段落未提供足够的谓词或配方结构支持。,agreement,absent,two_expert_agreement,Expert 1 and Expert 2 agreed; auto-accepted.,"[""HR-0394"",175,176,""姜"",""食材"",""recordedInText"",397,401,""《拔掉》"",""古籍来源""]"
REL-0C4F73908819ACBB,HR-0375,曹子方,食疗方,331,334,containsIngredient,水,食材,295,296,absent,,当前段落未提供足够的谓词或配方结构支持。,absent,,尾实体属于相邻条目或另一语义单元。,agreement,absent,two_expert_agreement,Expert 1 and Expert 2 agreed; auto-accepted.,"[""HR-0375"",331,334,""曹子方"",""食疗方"",""containsIngredient"",295,296,""水"",""食材""]"
REL-0C9E1F37DB7D47F6,HR-0386,食治老人烦渴热诸方,食疗方,0,9,containsIngredient,水,食材,264,265,insufficient_context,,局部段落截断，无法确认关系作用范围。,insufficient_context,,需查看前后条目才能排除跨段误连。,agreement,insufficient_context,two_expert_agreement,Expert 1 and Expert 2 agreed; auto-accepted.,"[""HR-0386"",0,9,""食治老人烦渴热诸方"",""食疗方"",""containsIngredient"",264,265,""水"",""食材""]"
REL-0CF42453ADDCAE35,HR-0412,用药刀如切极薄饮,食疗方,143,151,containsIngredient,油,食材,18,19,absent,,候选方向与原文语义不一致。,absent,,尾实体属于相邻条目或另一语义单元。,agreement,absent,two_expert_agreement,Expert 1 and Expert 2 agreed; auto-accepted.,"[""HR-0412"",143,151,""用药刀如切极薄饮"",""食疗方"",""containsIngredient"",18,19,""油"",""食材""]"
REL-0D542700F4AE5D8F,HR-0018,酒,食材,76,77,hasNature,温,食性,520,521,absent,,候选方向与原文语义不一致。,absent,,两实体仅在同段出现，未见直接关系表达。,agreement,absent,two_expert_agreement,Expert 1 and Expert 2 agreed; auto-accepted.,"[""HR-0018"",76,77,""酒"",""食材"",""hasNature"",520,521,""温"",""食性""]"
REL-0D54EF2BB0C9976B,HR-0167,油,食材,208,209,hasFlavor,咸,食味,182,183,present,"目》日 :""面酱咸。豆酱甜 ;酱豆油 大麦酱。麸酱皆咸甘。入",实体边界虽有排版噪声，但关系证据明确。,present,"目》日 :""面酱咸。豆酱甜 ;酱豆油 大麦酱。麸酱皆咸甘。入",,agreement,present,two_expert_agreement,Expert 1 and Expert 2 agreed; auto-accepted.,"[""HR-0167"",208,209,""油"",""食材"",""hasFlavor"",182,183,""咸"",""食味""]"
REL-0DBD869A5B2D4F2C,HR-0034,瓜,食材,209,210,hasNature,平,食性,97,98,absent,,当前段落未提供足够的谓词或配方结构支持。,absent,,当前段落未提供足够的谓词或配方结构支持。,agreement,absent,two_expert_agreement,Expert 1 and Expert 2 agreed; auto-accepted.,"[""HR-0034"",209,210,""瓜"",""食材"",""hasNature"",97,98,""平"",""食性""]"
REL-0E014281C96E37E3,HR-0333,滤浆入粥,食疗方,50,54,recordedInText,《〈草纲目》,古籍来源,65,71,present,润燥固精。水研 滤浆入粥。极香滑。 姜 粥 《〈草纲目》:温中。辟恶气。又《手集,,present,润燥固精。水研 滤浆入粥。极香滑。 姜 粥 《〈草纲目》:温中。辟恶气。又《手集,,agreement,present,two_expert_agreement,Expert 1 and Expert 2 agreed; auto-accepted.,"[""HR-0333"",50,54,""滤浆入粥"",""食疗方"",""recordedInText"",65,71,""《〈草纲目》"",""古籍来源""]"
REL-0E2ED2FDC7F0CBA8,HR-0400,面筋二法,食疗方,233,237,containsIngredient,油,食材,114,115,absent,,候选方向与原文语义不一致。,absent,,尾实体属于相邻条目或另一语义单元。,agreement,absent,two_expert_agreement,Expert 1 and Expert 2 agreed; auto-accepted.,"[""HR-0400"",233,237,""面筋二法"",""食疗方"",""containsIngredient"",114,115,""油"",""食材""]"
REL-0E740E5543EE92C0,HR-0400,开胃,功效,73,75,recordedInText,"《松菌生。 松菌采无时。
《谱》",古籍来源,41,57,entity_or_type_error,,实体类型与当前词项语义不匹配。,entity_or_type_error,,尾实体边界疑似跨越两个文献或条目单位。,agreement,entity_or_type_error,two_expert_agreement,Expert 1 and Expert 2 agreed; auto-accepted.,"[""HR-0400"",73,75,""开胃"",""功效"",""recordedInText"",41,57,""《松菌生。松菌采无时。《谱》"",""古籍来源""]"
REL-0EBA641FCDBC79CC,HR-0315,油,食材,222,223,hasFlavor,淡,食味,350,351,present,"要清鲜, 但不可淡薄。 浓厚与油腻, 清鲜与淡薄很是类似",关系方向与当前条目结构一致。,present,"要清鲜, 但不可淡薄。 浓厚与油腻, 清鲜与淡薄很是类似",,agreement,present,two_expert_agreement,Expert 1 and Expert 2 agreed; auto-accepted.,"[""HR-0315"",222,223,""油"",""食材"",""hasFlavor"",350,351,""淡"",""食味""]"
REL-0EFA91CF1D72F54A,HR-0333,温中,功效,72,74,recordedInText,《花谱》,古籍来源,12,16,absent,,当前段落未提供足够的谓词或配方结构支持。,absent,,两实体仅在同段出现，未见直接关系表达。,agreement,absent,two_expert_agreement,Expert 1 and Expert 2 agreed; auto-accepted.,"[""HR-0333"",72,74,""温中"",""功效"",""recordedInText"",12,16,""《花谱》"",""古籍来源""]"
REL-0F8E77D5C15768FF,HR-0375,曹子方,食疗方,331,334,recordedInText,《送曹子方赴闽潸诗》,古籍来源,10,20,insufficient_context,,OCR噪声影响关键谓词或条目边界判断。,present,"通印嫁破山 山谷《送曹子方赴闽潸诗》@:""子鱼@通印蠓破山,",,disagreement,present,third_expert_adjudication,"通印嫁破山 山谷《送曹子方赴闽潸诗》@:""子鱼@通印蠓破山,；原文中头尾实体位于同一语义单元，关系方向“recordedInText”有直接文字或条目结构支持。 两位专家原判断分别为 insufficient_context / present，最终以冻结原文和实体边界复核结果为准。","[""HR-0375"",331,334,""曹子方"",""食疗方"",""recordedInText"",10,20,""《送曹子方赴闽潸诗》"",""古籍来源""]"
REL-0FC5DD7C9AA4BE95,HR-0394,用好肉熬制的浓汤,食疗方,439,447,containsIngredient,姜,食材,175,176,insufficient_context,,需查看前后条目才能排除跨段误连。,insufficient_context,,OCR噪声影响关键谓词或条目边界判断。,agreement,insufficient_context,two_expert_agreement,Expert 1 and Expert 2 agreed; auto-accepted.,"[""HR-0394"",439,447,""用好肉熬制的浓汤"",""食疗方"",""containsIngredient"",175,176,""姜"",""食材""]"
