analysis_set,method,relation,gold,predicted,tp,fp,fn,precision,recall,f1
primary_present_vs_all_nonpresent,fixed_charngram_comparator,containsIngredient,94,219,88,131,6,0.4018264840182648,0.9361702127659575,0.5623003194888179
primary_present_vs_all_nonpresent,fixed_charngram_comparator,correspondsToOrgan,3,0,0,0,3,0.0,0.0,0.0
primary_present_vs_all_nonpresent,fixed_charngram_comparator,entersmeridian,0,3,0,3,0,0.0,0.0,0.0
primary_present_vs_all_nonpresent,fixed_charngram_comparator,hasEffect,10,44,10,34,0,0.22727272727272727,1.0,0.37037037037037035
primary_present_vs_all_nonpresent,fixed_charngram_comparator,hasFlavor,72,188,72,116,0,0.3829787234042553,1.0,0.5538461538461539
primary_present_vs_all_nonpresent,fixed_charngram_comparator,hasNature,40,96,39,57,1,0.40625,0.975,0.5735294117647058
primary_present_vs_all_nonpresent,fixed_charngram_comparator,recommendsIngredient,1,0,0,0,1,0.0,0.0,0.0
primary_present_vs_all_nonpresent,fixed_charngram_comparator,recordedInText,87,0,0,0,87,0.0,0.0,0.0
primary_present_vs_all_nonpresent,fixed_charngram_comparator,treatedByRecipe,12,19,5,14,7,0.2631578947368421,0.4166666666666667,0.3225806451612903
primary_present_vs_all_nonpresent,fixed_charngram_comparator,treats,12,53,7,46,5,0.1320754716981132,0.5833333333333334,0.21538461538461542
primary_present_vs_all_nonpresent,fixed_charngram_comparator,usesCookingMethod,96,48,24,24,72,0.5,0.25,0.3333333333333333
primary_present_vs_all_nonpresent,local_symbolic_text,affectsOrgan,18,0,0,0,18,0.0,0.0,0.0
primary_present_vs_all_nonpresent,local_symbolic_text,authoredBy,0,0,0,0,0,0.0,0.0,0.0
primary_present_vs_all_nonpresent,local_symbolic_text,containsIngredient,94,151,60,91,34,0.3973509933774834,0.6382978723404256,0.48979591836734687
primary_present_vs_all_nonpresent,local_symbolic_text,correspondsToOrgan,3,0,0,0,3,0.0,0.0,0.0
primary_present_vs_all_nonpresent,local_symbolic_text,entersmeridian,0,5,0,5,0,0.0,0.0,0.0
primary_present_vs_all_nonpresent,local_symbolic_text,hasEffect,10,44,10,34,0,0.22727272727272727,1.0,0.37037037037037035
primary_present_vs_all_nonpresent,local_symbolic_text,hasFlavor,72,182,69,113,3,0.3791208791208791,0.9583333333333334,0.5433070866141732
primary_present_vs_all_nonpresent,local_symbolic_text,hasNature,40,98,39,59,1,0.3979591836734694,0.975,0.5652173913043478
primary_present_vs_all_nonpresent,local_symbolic_text,recommendsIngredient,1,0,0,0,1,0.0,0.0,0.0
primary_present_vs_all_nonpresent,local_symbolic_text,recordedInText,87,25,8,17,79,0.32,0.09195402298850575,0.14285714285714285
primary_present_vs_all_nonpresent,local_symbolic_text,treatedByRecipe,12,14,5,9,7,0.35714285714285715,0.4166666666666667,0.3846153846153846
primary_present_vs_all_nonpresent,local_symbolic_text,treats,12,56,11,45,1,0.19642857142857142,0.9166666666666666,0.32352941176470584
primary_present_vs_all_nonpresent,local_symbolic_text,usesCookingMethod,96,40,20,20,76,0.5,0.20833333333333334,0.29411764705882354
primary_present_vs_all_nonpresent,deepseek_supported_only,affectsOrgan,18,1,1,0,17,1.0,0.05555555555555555,0.10526315789473684
primary_present_vs_all_nonpresent,deepseek_supported_only,authoredBy,0,2,0,2,0,0.0,0.0,0.0
primary_present_vs_all_nonpresent,deepseek_supported_only,containsIngredient,94,37,27,10,67,0.7297297297297297,0.2872340425531915,0.4122137404580153
primary_present_vs_all_nonpresent,deepseek_supported_only,correspondsToOrgan,3,1,0,1,3,0.0,0.0,0.0
primary_present_vs_all_nonpresent,deepseek_supported_only,entersmeridian,0,0,0,0,0,0.0,0.0,0.0
primary_present_vs_all_nonpresent,deepseek_supported_only,hasEffect,10,9,5,4,5,0.5555555555555556,0.5,0.5263157894736842
primary_present_vs_all_nonpresent,deepseek_supported_only,hasFlavor,72,28,22,6,50,0.7857142857142857,0.3055555555555556,0.43999999999999995
primary_present_vs_all_nonpresent,deepseek_supported_only,hasNature,40,11,11,0,29,1.0,0.275,0.4313725490196079
primary_present_vs_all_nonpresent,deepseek_supported_only,recommendsIngredient,1,1,1,0,0,1.0,1.0,1.0
primary_present_vs_all_nonpresent,deepseek_supported_only,recordedInText,87,43,26,17,61,0.6046511627906976,0.2988505747126437,0.39999999999999997
primary_present_vs_all_nonpresent,deepseek_supported_only,treatedByRecipe,12,6,2,4,10,0.3333333333333333,0.16666666666666666,0.2222222222222222
primary_present_vs_all_nonpresent,deepseek_supported_only,treats,12,13,5,8,7,0.38461538461538464,0.4166666666666667,0.4
primary_present_vs_all_nonpresent,deepseek_supported_only,usesCookingMethod,96,41,34,7,62,0.8292682926829268,0.3541666666666667,0.4963503649635037
primary_present_vs_all_nonpresent,deepseek_supported_or_plausible,affectsOrgan,18,1,1,0,17,1.0,0.05555555555555555,0.10526315789473684
primary_present_vs_all_nonpresent,deepseek_supported_or_plausible,authoredBy,0,4,0,4,0,0.0,0.0,0.0
primary_present_vs_all_nonpresent,deepseek_supported_or_plausible,containsIngredient,94,43,29,14,65,0.6744186046511628,0.30851063829787234,0.4233576642335767
primary_present_vs_all_nonpresent,deepseek_supported_or_plausible,correspondsToOrgan,3,1,0,1,3,0.0,0.0,0.0
primary_present_vs_all_nonpresent,deepseek_supported_or_plausible,entersmeridian,0,0,0,0,0,0.0,0.0,0.0
primary_present_vs_all_nonpresent,deepseek_supported_or_plausible,hasEffect,10,9,5,4,5,0.5555555555555556,0.5,0.5263157894736842
primary_present_vs_all_nonpresent,deepseek_supported_or_plausible,hasFlavor,72,31,23,8,49,0.7419354838709677,0.3194444444444444,0.4466019417475728
primary_present_vs_all_nonpresent,deepseek_supported_or_plausible,hasNature,40,11,11,0,29,1.0,0.275,0.4313725490196079
primary_present_vs_all_nonpresent,deepseek_supported_or_plausible,recommendsIngredient,1,1,1,0,0,1.0,1.0,1.0
primary_present_vs_all_nonpresent,deepseek_supported_or_plausible,recordedInText,87,45,28,17,59,0.6222222222222222,0.3218390804597701,0.42424242424242425
primary_present_vs_all_nonpresent,deepseek_supported_or_plausible,treatedByRecipe,12,7,2,5,10,0.2857142857142857,0.16666666666666666,0.2105263157894737
primary_present_vs_all_nonpresent,deepseek_supported_or_plausible,treats,12,14,5,9,7,0.35714285714285715,0.4166666666666667,0.3846153846153846
primary_present_vs_all_nonpresent,deepseek_supported_or_plausible,usesCookingMethod,96,45,36,9,60,0.8,0.375,0.5106382978723405
primary_present_vs_all_nonpresent,cmfkg_frozen_hybrid,affectsOrgan,18,0,0,0,18,0.0,0.0,0.0
primary_present_vs_all_nonpresent,cmfkg_frozen_hybrid,authoredBy,0,0,0,0,0,0.0,0.0,0.0
primary_present_vs_all_nonpresent,cmfkg_frozen_hybrid,containsIngredient,94,151,60,91,34,0.3973509933774834,0.6382978723404256,0.48979591836734687
primary_present_vs_all_nonpresent,cmfkg_frozen_hybrid,correspondsToOrgan,3,0,0,0,3,0.0,0.0,0.0
primary_present_vs_all_nonpresent,cmfkg_frozen_hybrid,entersmeridian,0,5,0,5,0,0.0,0.0,0.0
primary_present_vs_all_nonpresent,cmfkg_frozen_hybrid,hasEffect,10,44,10,34,0,0.22727272727272727,1.0,0.37037037037037035
primary_present_vs_all_nonpresent,cmfkg_frozen_hybrid,hasFlavor,72,182,69,113,3,0.3791208791208791,0.9583333333333334,0.5433070866141732
primary_present_vs_all_nonpresent,cmfkg_frozen_hybrid,hasNature,40,98,39,59,1,0.3979591836734694,0.975,0.5652173913043478
primary_present_vs_all_nonpresent,cmfkg_frozen_hybrid,recommendsIngredient,1,0,0,0,1,0.0,0.0,0.0
primary_present_vs_all_nonpresent,cmfkg_frozen_hybrid,recordedInText,87,25,8,17,79,0.32,0.09195402298850575,0.14285714285714285
primary_present_vs_all_nonpresent,cmfkg_frozen_hybrid,treatedByRecipe,12,14,5,9,7,0.35714285714285715,0.4166666666666667,0.3846153846153846
primary_present_vs_all_nonpresent,cmfkg_frozen_hybrid,treats,12,56,11,45,1,0.19642857142857142,0.9166666666666666,0.32352941176470584
primary_present_vs_all_nonpresent,cmfkg_frozen_hybrid,usesCookingMethod,96,40,20,20,76,0.5,0.20833333333333334,0.29411764705882354
sensitivity_present_vs_absent_only,typed_cooccurrence,affectsOrgan,18,38,18,20,0,0.47368421052631576,1.0,0.6428571428571429
sensitivity_present_vs_absent_only,typed_cooccurrence,authoredBy,0,12,0,12,0,0.0,0.0,0.0
sensitivity_present_vs_absent_only,typed_cooccurrence,containsIngredient,94,206,94,112,0,0.4563106796116505,1.0,0.6266666666666667
sensitivity_present_vs_absent_only,typed_cooccurrence,correspondsToOrgan,3,6,3,3,0,0.5,1.0,0.6666666666666666
sensitivity_present_vs_absent_only,typed_cooccurrence,entersmeridian,0,4,0,4,0,0.0,0.0,0.0
sensitivity_present_vs_absent_only,typed_cooccurrence,hasEffect,10,42,10,32,0,0.23809523809523808,1.0,0.3846153846153846
sensitivity_present_vs_absent_only,typed_cooccurrence,hasFlavor,72,178,72,106,0,0.4044943820224719,1.0,0.576
sensitivity_present_vs_absent_only,typed_cooccurrence,hasNature,40,88,40,48,0,0.45454545454545453,1.0,0.625
sensitivity_present_vs_absent_only,typed_cooccurrence,recommendsIngredient,1,4,1,3,0,0.25,1.0,0.4
sensitivity_present_vs_absent_only,typed_cooccurrence,recordedInText,87,195,87,108,0,0.4461538461538462,1.0,0.6170212765957447
sensitivity_present_vs_absent_only,typed_cooccurrence,treatedByRecipe,12,44,12,32,0,0.2727272727272727,1.0,0.42857142857142855
sensitivity_present_vs_absent_only,typed_cooccurrence,treats,12,52,12,40,0,0.23076923076923078,1.0,0.375
sensitivity_present_vs_absent_only,typed_cooccurrence,usesCookingMethod,96,151,96,55,0,0.6357615894039735,1.0,0.7773279352226721
sensitivity_present_vs_absent_only,distance_trigger_heuristic,affectsOrgan,18,32,16,16,2,0.5,0.8888888888888888,0.64
sensitivity_present_vs_absent_only,distance_trigger_heuristic,authoredBy,0,5,0,5,0,0.0,0.0,0.0
sensitivity_present_vs_absent_only,distance_trigger_heuristic,containsIngredient,94,97,53,44,41,0.5463917525773195,0.5638297872340425,0.5549738219895287
sensitivity_present_vs_absent_only,distance_trigger_heuristic,correspondsToOrgan,3,5,3,2,0,0.6,1.0,0.7499999999999999
sensitivity_present_vs_absent_only,distance_trigger_heuristic,entersmeridian,0,3,0,3,0,0.0,0.0,0.0
sensitivity_present_vs_absent_only,distance_trigger_heuristic,hasEffect,10,23,5,18,5,0.21739130434782608,0.5,0.30303030303030304
sensitivity_present_vs_absent_only,distance_trigger_heuristic,hasFlavor,72,83,48,35,24,0.5783132530120482,0.6666666666666666,0.6193548387096774
sensitivity_present_vs_absent_only,distance_trigger_heuristic,hasNature,40,41,24,17,16,0.5853658536585366,0.6,0.5925925925925926
sensitivity_present_vs_absent_only,distance_trigger_heuristic,recommendsIngredient,1,0,0,0,1,0.0,0.0,0.0
sensitivity_present_vs_absent_only,distance_trigger_heuristic,recordedInText,87,102,59,43,28,0.5784313725490197,0.6781609195402298,0.6243386243386243
sensitivity_present_vs_absent_only,distance_trigger_heuristic,treatedByRecipe,12,37,11,26,1,0.2972972972972973,0.9166666666666666,0.4489795918367347
sensitivity_present_vs_absent_only,distance_trigger_heuristic,treats,12,37,9,28,3,0.24324324324324326,0.75,0.3673469387755103
sensitivity_present_vs_absent_only,distance_trigger_heuristic,usesCookingMethod,96,45,35,10,61,0.7777777777777778,0.3645833333333333,0.49645390070921985
sensitivity_present_vs_absent_only,fixed_charngram_comparator,affectsOrgan,18,0,0,0,18,0.0,0.0,0.0
sensitivity_present_vs_absent_only,fixed_charngram_comparator,authoredBy,0,0,0,0,0,0.0,0.0,0.0
sensitivity_present_vs_absent_only,fixed_charngram_comparator,containsIngredient,94,197,88,109,6,0.4467005076142132,0.9361702127659575,0.604810996563574
sensitivity_present_vs_absent_only,fixed_charngram_comparator,correspondsToOrgan,3,0,0,0,3,0.0,0.0,0.0
sensitivity_present_vs_absent_only,fixed_charngram_comparator,entersmeridian,0,2,0,2,0,0.0,0.0,0.0
sensitivity_present_vs_absent_only,fixed_charngram_comparator,hasEffect,10,41,10,31,0,0.24390243902439024,1.0,0.39215686274509803
sensitivity_present_vs_absent_only,fixed_charngram_comparator,hasFlavor,72,178,72,106,0,0.4044943820224719,1.0,0.576
sensitivity_present_vs_absent_only,fixed_charngram_comparator,hasNature,40,85,39,46,1,0.4588235294117647,0.975,0.624
sensitivity_present_vs_absent_only,fixed_charngram_comparator,recommendsIngredient,1,0,0,0,1,0.0,0.0,0.0
sensitivity_present_vs_absent_only,fixed_charngram_comparator,recordedInText,87,0,0,0,87,0.0,0.0,0.0
sensitivity_present_vs_absent_only,fixed_charngram_comparator,treatedByRecipe,12,17,5,12,7,0.29411764705882354,0.4166666666666667,0.3448275862068966
sensitivity_present_vs_absent_only,fixed_charngram_comparator,treats,12,43,7,36,5,0.16279069767441862,0.5833333333333334,0.2545454545454546
sensitivity_present_vs_absent_only,fixed_charngram_comparator,usesCookingMethod,96,45,24,21,72,0.5333333333333333,0.25,0.3404255319148936
sensitivity_present_vs_absent_only,local_symbolic_text,affectsOrgan,18,0,0,0,18,0.0,0.0,0.0
sensitivity_present_vs_absent_only,local_symbolic_text,authoredBy,0,0,0,0,0,0.0,0.0,0.0
sensitivity_present_vs_absent_only,local_symbolic_text,containsIngredient,94,131,60,71,34,0.4580152671755725,0.6382978723404256,0.5333333333333333
sensitivity_present_vs_absent_only,local_symbolic_text,correspondsToOrgan,3,0,0,0,3,0.0,0.0,0.0
sensitivity_present_vs_absent_only,local_symbolic_text,entersmeridian,0,4,0,4,0,0.0,0.0,0.0
sensitivity_present_vs_absent_only,local_symbolic_text,hasEffect,10,41,10,31,0,0.24390243902439024,1.0,0.39215686274509803
sensitivity_present_vs_absent_only,local_symbolic_text,hasFlavor,72,173,69,104,3,0.3988439306358382,0.9583333333333334,0.563265306122449
sensitivity_present_vs_absent_only,local_symbolic_text,hasNature,40,87,39,48,1,0.4482758620689655,0.975,0.6141732283464567
sensitivity_present_vs_absent_only,local_symbolic_text,recommendsIngredient,1,0,0,0,1,0.0,0.0,0.0
sensitivity_present_vs_absent_only,local_symbolic_text,recordedInText,87,20,8,12,79,0.4,0.09195402298850575,0.14953271028037382
sensitivity_present_vs_absent_only,local_symbolic_text,treatedByRecipe,12,14,5,9,7,0.35714285714285715,0.4166666666666667,0.3846153846153846
sensitivity_present_vs_absent_only,local_symbolic_text,treats,12,48,11,37,1,0.22916666666666666,0.9166666666666666,0.36666666666666664
sensitivity_present_vs_absent_only,local_symbolic_text,usesCookingMethod,96,36,20,16,76,0.5555555555555556,0.20833333333333334,0.30303030303030304
sensitivity_present_vs_absent_only,deepseek_supported_only,affectsOrgan,18,1,1,0,17,1.0,0.05555555555555555,0.10526315789473684
sensitivity_present_vs_absent_only,deepseek_supported_only,authoredBy,0,2,0,2,0,0.0,0.0,0.0
sensitivity_present_vs_absent_only,deepseek_supported_only,containsIngredient,94,36,27,9,67,0.75,0.2872340425531915,0.41538461538461546
sensitivity_present_vs_absent_only,deepseek_supported_only,correspondsToOrgan,3,1,0,1,3,0.0,0.0,0.0
sensitivity_present_vs_absent_only,deepseek_supported_only,entersmeridian,0,0,0,0,0,0.0,0.0,0.0
sensitivity_present_vs_absent_only,deepseek_supported_only,hasEffect,10,9,5,4,5,0.5555555555555556,0.5,0.5263157894736842
sensitivity_present_vs_absent_only,deepseek_supported_only,hasFlavor,72,28,22,6,50,0.7857142857142857,0.3055555555555556,0.43999999999999995
sensitivity_present_vs_absent_only,deepseek_supported_only,hasNature,40,11,11,0,29,1.0,0.275,0.4313725490196079
sensitivity_present_vs_absent_only,deepseek_supported_only,recommendsIngredient,1,1,1,0,0,1.0,1.0,1.0
sensitivity_present_vs_absent_only,deepseek_supported_only,recordedInText,87,40,26,14,61,0.65,0.2988505747126437,0.40944881889763785
sensitivity_present_vs_absent_only,deepseek_supported_only,treatedByRecipe,12,6,2,4,10,0.3333333333333333,0.16666666666666666,0.2222222222222222
sensitivity_present_vs_absent_only,deepseek_supported_only,treats,12,6,5,1,7,0.8333333333333334,0.4166666666666667,0.5555555555555556
sensitivity_present_vs_absent_only,deepseek_supported_only,usesCookingMethod,96,41,34,7,62,0.8292682926829268,0.3541666666666667,0.4963503649635037
sensitivity_present_vs_absent_only,deepseek_supported_or_plausible,affectsOrgan,18,1,1,0,17,1.0,0.05555555555555555,0.10526315789473684
sensitivity_present_vs_absent_only,deepseek_supported_or_plausible,authoredBy,0,4,0,4,0,0.0,0.0,0.0
sensitivity_present_vs_absent_only,deepseek_supported_or_plausible,containsIngredient,94,41,29,12,65,0.7073170731707317,0.30851063829787234,0.4296296296296296
sensitivity_present_vs_absent_only,deepseek_supported_or_plausible,correspondsToOrgan,3,1,0,1,3,0.0,0.0,0.0
sensitivity_present_vs_absent_only,deepseek_supported_or_plausible,entersmeridian,0,0,0,0,0,0.0,0.0,0.0
sensitivity_present_vs_absent_only,deepseek_supported_or_plausible,hasEffect,10,9,5,4,5,0.5555555555555556,0.5,0.5263157894736842
sensitivity_present_vs_absent_only,deepseek_supported_or_plausible,hasFlavor,72,31,23,8,49,0.7419354838709677,0.3194444444444444,0.4466019417475728
sensitivity_present_vs_absent_only,deepseek_supported_or_plausible,hasNature,40,11,11,0,29,1.0,0.275,0.4313725490196079
sensitivity_present_vs_absent_only,deepseek_supported_or_plausible,recommendsIngredient,1,1,1,0,0,1.0,1.0,1.0
sensitivity_present_vs_absent_only,deepseek_supported_or_plausible,recordedInText,87,42,28,14,59,0.6666666666666666,0.3218390804597701,0.43410852713178294
sensitivity_present_vs_absent_only,deepseek_supported_or_plausible,treatedByRecipe,12,7,2,5,10,0.2857142857142857,0.16666666666666666,0.2105263157894737
sensitivity_present_vs_absent_only,deepseek_supported_or_plausible,treats,12,6,5,1,7,0.8333333333333334,0.4166666666666667,0.5555555555555556
sensitivity_present_vs_absent_only,deepseek_supported_or_plausible,usesCookingMethod,96,43,36,7,60,0.8372093023255814,0.375,0.5179856115107913
sensitivity_present_vs_absent_only,cmfkg_frozen_hybrid,affectsOrgan,18,0,0,0,18,0.0,0.0,0.0
sensitivity_present_vs_absent_only,cmfkg_frozen_hybrid,authoredBy,0,0,0,0,0,0.0,0.0,0.0
sensitivity_present_vs_absent_only,cmfkg_frozen_hybrid,containsIngredient,94,131,60,71,34,0.4580152671755725,0.6382978723404256,0.5333333333333333
sensitivity_present_vs_absent_only,cmfkg_frozen_hybrid,correspondsToOrgan,3,0,0,0,3,0.0,0.0,0.0
sensitivity_present_vs_absent_only,cmfkg_frozen_hybrid,entersmeridian,0,4,0,4,0,0.0,0.0,0.0
sensitivity_present_vs_absent_only,cmfkg_frozen_hybrid,hasEffect,10,41,10,31,0,0.24390243902439024,1.0,0.39215686274509803
sensitivity_present_vs_absent_only,cmfkg_frozen_hybrid,hasFlavor,72,173,69,104,3,0.3988439306358382,0.9583333333333334,0.563265306122449
sensitivity_present_vs_absent_only,cmfkg_frozen_hybrid,hasNature,40,87,39,48,1,0.4482758620689655,0.975,0.6141732283464567
sensitivity_present_vs_absent_only,cmfkg_frozen_hybrid,recommendsIngredient,1,0,0,0,1,0.0,0.0,0.0
sensitivity_present_vs_absent_only,cmfkg_frozen_hybrid,recordedInText,87,20,8,12,79,0.4,0.09195402298850575,0.14953271028037382
sensitivity_present_vs_absent_only,cmfkg_frozen_hybrid,treatedByRecipe,12,14,5,9,7,0.35714285714285715,0.4166666666666667,0.3846153846153846
sensitivity_present_vs_absent_only,cmfkg_frozen_hybrid,treats,12,48,11,37,1,0.22916666666666666,0.9166666666666666,0.36666666666666664
sensitivity_present_vs_absent_only,cmfkg_frozen_hybrid,usesCookingMethod,96,36,20,16,76,0.5555555555555556,0.20833333333333334,0.30303030303030304
