record_id,participant_id,role,period,system_blind_code,task_id,task_set,bloom_task_level,start_timestamp,end_timestamp,completion_seconds,participant_response,system_output_id_or_log_path,task_completed,protocol_deviation,missing_reason,include_in_primary_analysis,notes,completion_seconds_derived
42,P002,General_user,2,SYS-R4,A-L3-01,A,L3,2026-04-07 15:16:10,2026-04-07 15:17:57,,瓜 —hasNature→ 平,logs/userstudy/P002/SYS-R4/A-L3-01.json,Y,N,,Y,,107.0
43,P002,General_user,2,SYS-R4,A-L4-01,A,L4,2026-04-07 15:18:19,2026-04-07 15:21:14,,证据更充分的关系为：睡乡散 —recordedInText→ 《饮食谱》；理由：论元与谓词位于同句或同一处方段落。,logs/userstudy/P002/SYS-R4/A-L4-01.json,Y,N,,Y,,175.0
44,P002,General_user,2,SYS-R4,A-L4-02,A,L4,2026-04-07 15:21:34,2026-04-07 15:23:32,,证据更充分的关系为：盐 —hasFlavor→ 甘；理由：论元与谓词位于同句或同一处方段落。,logs/userstudy/P002/SYS-R4/A-L4-02.json,Y,N,,Y,,118.0
45,P002,General_user,2,SYS-R4,A-L5-01,A,L5,2026-04-07 15:23:55,2026-04-07 15:27:14,,候选关系应按原文作用范围判断；本片段可保留：水 —hasNature→ 寒，跨段推断不应采纳。,logs/userstudy/P002/SYS-R4/A-L5-01.json,Y,N,,Y,,199.0
46,P002,General_user,2,SYS-R4,A-L5-02,A,L5,2026-04-07 15:27:23,2026-04-07 15:31:07,,候选关系应按原文作用范围判断；本片段可保留：油 —hasNature→ 凉，跨段推断不应采纳。,logs/userstudy/P002/SYS-R4/A-L5-02.json,Y,N,,Y,,224.0
47,P002,General_user,2,SYS-R4,A-L6-01,A,L6,2026-04-07 15:31:25,2026-04-07 15:33:51,,证据链：冻结原文 → 实体识别 → 油 —hasNature→ 大寒 → 上下文范围核验。,logs/userstudy/P002/SYS-R4/A-L6-01.json,Y,N,,Y,,146.0
48,P002,General_user,2,SYS-R4,A-L6-02,A,L6,2026-04-07 15:34:09,2026-04-07 15:38:36,,证据链：冻结原文 → 实体识别 → 水 —hasNature→ 凉 → 上下文范围核验。,logs/userstudy/P002/SYS-R4/A-L6-02.json,Y,N,,Y,,267.0
49,P003,General_user,1,SYS-R4,B-L1-02,B,L1,2026-04-08 09:20:11,2026-04-08 09:21:15,,盐；拌,logs/userstudy/P003/SYS-R4/B-L1-02.json,Y,N,,Y,,64.0
50,P003,General_user,1,SYS-R4,B-L1-01,B,L1,2026-04-08 09:21:31,2026-04-08 09:22:06,,温；消渴,logs/userstudy/P003/SYS-R4/B-L1-01.json,Y,N,,Y,,35.0
51,P003,General_user,1,SYS-R4,B-L2-02,B,L2,2026-04-08 09:22:17,2026-04-08 09:23:09,,油（食材）；水（食材）；水（食材）,logs/userstudy/P003/SYS-R4/B-L2-02.json,Y,N,,Y,,52.0
52,P003,General_user,1,SYS-R4,B-L2-01,B,L2,2026-04-08 09:23:17,2026-04-08 09:25:18,,《人世:间》（古籍来源）；《马蹄》（古籍来源）；或解作击散（食疗方）,logs/userstudy/P003/SYS-R4/B-L2-01.json,Y,N,,Y,,121.0
53,P003,General_user,1,SYS-R4,B-L3-01,B,L3,2026-04-08 09:25:43,2026-04-08 09:27:30,,水 —hasEffect→ 清热,logs/userstudy/P003/SYS-R4/B-L3-01.json,Y,N,,Y,,107.0
54,P003,General_user,1,SYS-R4,B-L3-02,B,L3,2026-04-08 09:27:44,2026-04-08 09:29:40,,内宫散 —containsIngredient→ 醋,logs/userstudy/P003/SYS-R4/B-L3-02.json,Y,N,,Y,,116.0
55,P003,General_user,1,SYS-R4,B-L4-01,B,L4,2026-04-08 09:29:54,2026-04-08 09:32:43,,证据更充分的关系为：水 —hasNature→ 平；理由：论元与谓词位于同句或同一处方段落。,logs/userstudy/P003/SYS-R4/B-L4-01.json,Y,N,,Y,,169.0
56,P003,General_user,1,SYS-R4,B-L4-02,B,L4,2026-04-08 09:32:58,2026-04-08 09:35:59,,倾向于认为候选关系成立，但未能给出完整证据链。,logs/userstudy/P003/SYS-R4/B-L4-02.json,Y,N,,Y,,181.0
57,P003,General_user,1,SYS-R4,B-L5-02,B,L5,2026-04-08 09:36:19,2026-04-08 09:39:39,,候选关系应按原文作用范围判断；本片段可保留：水 —hasFlavor→ 涩，跨段推断不应采纳。,logs/userstudy/P003/SYS-R4/B-L5-02.json,Y,N,,Y,,200.0
58,P003,General_user,1,SYS-R4,B-L5-01,B,L5,2026-04-08 09:39:55,2026-04-08 09:42:40,,候选关系应按原文作用范围判断；本片段可保留：黄豆 —recordedInText→ 《摘录》，跨段推断不应采纳。,logs/userstudy/P003/SYS-R4/B-L5-01.json,Y,N,,Y,,165.0
59,P003,General_user,1,SYS-R4,B-L6-02,B,L6,2026-04-08 09:42:58,2026-04-08 09:47:29,,未发现足够直接的谓词证据，暂不作确定判断。,logs/userstudy/P003/SYS-R4/B-L6-02.json,Y,N,,Y,,271.0
60,P003,General_user,1,SYS-R4,B-L6-01,B,L6,2026-04-08 09:47:40,2026-04-08 09:51:42,,证据链：冻结原文 → 实体识别 → 酒 —hasNature→ 寒 → 上下文范围核验。,logs/userstudy/P003/SYS-R4/B-L6-01.json,Y,N,,Y,,242.0
61,P003,General_user,2,SYS-T9,A-L1-01,A,L1,2026-04-08 10:12:02,2026-04-08 10:13:00,,未发现足够直接的谓词证据，暂不作确定判断。,logs/userstudy/P003/SYS-T9/A-L1-01.json,Y,N,,Y,,58.0
62,P003,General_user,2,SYS-T9,A-L1-02,A,L1,2026-04-08 10:13:22,2026-04-08 10:14:35,,甘；平,logs/userstudy/P003/SYS-T9/A-L1-02.json,Y,N,,Y,,73.0
63,P003,General_user,2,SYS-T9,A-L2-02,A,L2,2026-04-08 10:14:46,2026-04-08 10:15:48,,原文信息可能支持该结论，不过需要结合前后文进一步判断。,logs/userstudy/P003/SYS-T9/A-L2-02.json,Y,N,,Y,,62.0
64,P003,General_user,2,SYS-T9,A-L2-01,A,L2,2026-04-08 10:15:57,2026-04-08 10:18:35,,未发现足够直接的谓词证据，暂不作确定判断。,logs/userstudy/P003/SYS-T9/A-L2-01.json,Y,N,,Y,,158.0
65,P003,General_user,2,SYS-T9,A-L3-02,A,L3,2026-04-08 10:18:59,2026-04-08 10:21:19,,然多食生痰桑饮 —usesCookingMethod→ 腌,logs/userstudy/P003/SYS-T9/A-L3-02.json,Y,N,,Y,,140.0
66,P003,General_user,2,SYS-T9,A-L3-01,A,L3,2026-04-08 10:21:35,2026-04-08 10:24:19,,原文信息可能支持该结论，不过需要结合前后文进一步判断。,logs/userstudy/P003/SYS-T9/A-L3-01.json,Y,N,,Y,,164.0
67,P003,General_user,2,SYS-T9,A-L4-02,A,L4,2026-04-08 10:24:44,2026-04-08 10:28:19,,原文信息可能支持该结论，不过需要结合前后文进一步判断。,logs/userstudy/P003/SYS-T9/A-L4-02.json,Y,N,,Y,,215.0
68,P003,General_user,2,SYS-T9,A-L4-01,A,L4,2026-04-08 10:28:40,2026-04-08 10:32:30,,倾向于认为候选关系成立，但未能给出完整证据链。,logs/userstudy/P003/SYS-T9/A-L4-01.json,Y,N,,Y,,230.0
69,P003,General_user,2,SYS-T9,A-L5-01,A,L5,2026-04-08 10:32:45,2026-04-08 10:36:44,,候选关系应按原文作用范围判断；本片段可保留：水 —hasNature→ 寒，跨段推断不应采纳。,logs/userstudy/P003/SYS-T9/A-L5-01.json,Y,N,,Y,,239.0
70,P003,General_user,2,SYS-T9,A-L5-02,A,L5,2026-04-08 10:37:04,2026-04-08 10:41:20,,候选关系应按原文作用范围判断；本片段可保留：油 —hasNature→ 凉，跨段推断不应采纳。,logs/userstudy/P003/SYS-T9/A-L5-02.json,Y,N,,Y,,256.0
71,P003,General_user,2,SYS-T9,A-L6-02,A,L6,2026-04-08 10:41:45,2026-04-08 10:46:03,,证据链：冻结原文 → 实体识别 → 水 —hasNature→ 凉 → 上下文范围核验。,logs/userstudy/P003/SYS-T9/A-L6-02.json,Y,N,,Y,,258.0
72,P003,General_user,2,SYS-T9,A-L6-01,A,L6,2026-04-08 10:46:16,2026-04-08 10:51:24,,证据链：冻结原文 → 实体识别 → 油 —hasNature→ 大寒 → 上下文范围核验。,logs/userstudy/P003/SYS-T9/A-L6-01.json,Y,N,,Y,,308.0
73,P004,General_user,1,SYS-T9,A-L1-02,A,L1,2026-04-08 14:30:07,2026-04-08 14:31:25,,甘；平,logs/userstudy/P004/SYS-T9/A-L1-02.json,Y,N,,Y,,78.0
74,P004,General_user,1,SYS-T9,A-L1-01,A,L1,2026-04-08 14:31:41,2026-04-08 14:32:40,,水；《内经》,logs/userstudy/P004/SYS-T9/A-L1-01.json,Y,N,,Y,,59.0
75,P004,General_user,1,SYS-T9,A-L2-02,A,L2,2026-04-08 14:33:01,2026-04-08 14:35:17,,水（食材）；水（食材）；选用食料的方（食疗方）,logs/userstudy/P004/SYS-T9/A-L2-02.json,Y,N,,Y,,136.0
76,P004,General_user,1,SYS-T9,A-L2-01,A,L2,2026-04-08 14:35:30,2026-04-08 14:37:29,,心（脏腑）；温（食性）；心（脏腑）,logs/userstudy/P004/SYS-T9/A-L2-01.json,Y,N,,Y,,119.0
77,P004,General_user,1,SYS-T9,A-L3-02,A,L3,2026-04-08 14:37:54,2026-04-08 14:40:23,,然多食生痰桑饮 —usesCookingMethod→ 腌,logs/userstudy/P004/SYS-T9/A-L3-02.json,Y,N,,Y,,149.0
78,P004,General_user,1,SYS-T9,A-L3-01,A,L3,2026-04-08 14:40:36,2026-04-08 14:42:36,,瓜 —hasNature→ 平,logs/userstudy/P004/SYS-T9/A-L3-01.json,Y,N,,Y,,120.0
79,P004,General_user,1,SYS-T9,A-L4-01,A,L4,2026-04-08 14:42:57,2026-04-08 14:46:32,,证据更充分的关系为：睡乡散 —recordedInText→ 《饮食谱》；理由：论元与谓词位于同句或同一处方段落。,logs/userstudy/P004/SYS-T9/A-L4-01.json,Y,N,,Y,,215.0
80,P004,General_user,1,SYS-T9,A-L4-02,A,L4,2026-04-08 14:46:44,2026-04-08 14:49:56,,原文信息可能支持该结论，不过需要结合前后文进一步判断。,logs/userstudy/P004/SYS-T9/A-L4-02.json,Y,N,,Y,,192.0
81,P004,General_user,1,SYS-T9,A-L5-02,A,L5,2026-04-08 14:50:17,2026-04-08 14:54:15,,倾向于认为候选关系成立，但未能给出完整证据链。,logs/userstudy/P004/SYS-T9/A-L5-02.json,Y,N,,Y,,238.0
82,P004,General_user,1,SYS-T9,A-L5-01,A,L5,2026-04-08 14:54:38,2026-04-08 14:58:01,,未发现足够直接的谓词证据，暂不作确定判断。,logs/userstudy/P004/SYS-T9/A-L5-01.json,Y,N,,Y,,203.0
83,P004,General_user,1,SYS-T9,A-L6-02,A,L6,2026-04-08 14:58:25,2026-04-08 15:02:31,,原文能确认相关实体，但关系方向和作用范围仍不够明确。,logs/userstudy/P004/SYS-T9/A-L6-02.json,Y,N,,Y,,246.0
84,P004,General_user,1,SYS-T9,A-L6-01,A,L6,2026-04-08 15:02:44,2026-04-08 15:08:29,,原文能确认相关实体，但关系方向和作用范围仍不够明确。,logs/userstudy/P004/SYS-T9/A-L6-01.json,Y,N,,Y,,345.0
85,P004,General_user,2,SYS-R4,B-L1-01,B,L1,2026-04-08 15:28:43,2026-04-08 15:29:39,,温；消渴,logs/userstudy/P004/SYS-R4/B-L1-01.json,Y,N,,Y,,56.0
86,P004,General_user,2,SYS-R4,B-L1-02,B,L1,2026-04-08 15:29:52,2026-04-08 15:30:50,,盐；拌,logs/userstudy/P004/SYS-R4/B-L1-02.json,Y,N,,Y,,58.0
87,P004,General_user,2,SYS-R4,B-L2-02,B,L2,2026-04-08 15:31:02,2026-04-08 15:32:55,,油（食材）；水（食材）；水（食材）,logs/userstudy/P004/SYS-R4/B-L2-02.json,Y,N,,Y,,113.0
88,P004,General_user,2,SYS-R4,B-L2-01,B,L2,2026-04-08 15:33:04,2026-04-08 15:34:50,,《人世:间》（古籍来源）；《马蹄》（古籍来源）；或解作击散（食疗方）,logs/userstudy/P004/SYS-R4/B-L2-01.json,Y,N,,Y,,106.0
89,P004,General_user,2,SYS-R4,B-L3-01,B,L3,2026-04-08 15:35:15,2026-04-08 15:37:07,,水 —hasEffect→ 清热,logs/userstudy/P004/SYS-R4/B-L3-01.json,Y,N,,Y,,112.0
90,P004,General_user,2,SYS-R4,B-L3-02,B,L3,2026-04-08 15:37:15,2026-04-08 15:38:32,,内宫散 —containsIngredient→ 醋,logs/userstudy/P004/SYS-R4/B-L3-02.json,Y,N,,Y,,77.0
91,P004,General_user,2,SYS-R4,B-L4-02,B,L4,2026-04-08 15:38:49,2026-04-08 15:42:17,,证据更充分的关系为：米 —hasFlavor→ 甘；理由：论元与谓词位于同句或同一处方段落。,logs/userstudy/P004/SYS-R4/B-L4-02.json,Y,N,,Y,,208.0
92,P004,General_user,2,SYS-R4,B-L4-01,B,L4,2026-04-08 15:42:26,2026-04-08 15:44:48,,证据更充分的关系为：水 —hasNature→ 平；理由：论元与谓词位于同句或同一处方段落。,logs/userstudy/P004/SYS-R4/B-L4-01.json,Y,N,,Y,,142.0
93,P004,General_user,2,SYS-R4,B-L5-01,B,L5,2026-04-08 15:45:03,2026-04-08 15:48:40,,候选关系应按原文作用范围判断；本片段可保留：黄豆 —recordedInText→ 《摘录》，跨段推断不应采纳。,logs/userstudy/P004/SYS-R4/B-L5-01.json,Y,N,,Y,,217.0
94,P004,General_user,2,SYS-R4,B-L5-02,B,L5,2026-04-08 15:49:01,2026-04-08 15:52:27,,候选关系应按原文作用范围判断；本片段可保留：水 —hasFlavor→ 涩，跨段推断不应采纳。,logs/userstudy/P004/SYS-R4/B-L5-02.json,Y,N,,Y,,206.0
95,P004,General_user,2,SYS-R4,B-L6-02,B,L6,2026-04-08 15:52:49,2026-04-08 15:55:28,,未发现足够直接的谓词证据，暂不作确定判断。,logs/userstudy/P004/SYS-R4/B-L6-02.json,Y,N,,Y,,159.0
96,P004,General_user,2,SYS-R4,B-L6-01,B,L6,2026-04-08 15:55:47,2026-04-08 15:58:34,,证据链：冻结原文 → 实体识别 → 酒 —hasNature→ 寒 → 上下文范围核验。,logs/userstudy/P004/SYS-R4/B-L6-01.json,Y,N,,Y,,167.0
97,P005,General_user,1,SYS-R4,A-L1-02,A,L1,2026-04-09 09:20:33,2026-04-09 09:22:05,,甘；平,logs/userstudy/P005/SYS-R4/A-L1-02.json,Y,N,,Y,,92.0
98,P005,General_user,1,SYS-R4,A-L1-01,A,L1,2026-04-09 09:22:22,2026-04-09 09:23:03,,水；《内经》,logs/userstudy/P005/SYS-R4/A-L1-01.json,Y,N,,Y,,41.0
99,P005,General_user,1,SYS-R4,A-L2-01,A,L2,2026-04-09 09:23:27,2026-04-09 09:24:43,,心（脏腑）；温（食性）；心（脏腑）,logs/userstudy/P005/SYS-R4/A-L2-01.json,Y,N,,Y,,76.0
100,P005,General_user,1,SYS-R4,A-L2-02,A,L2,2026-04-09 09:25:07,2026-04-09 09:26:13,,水（食材）；水（食材）；选用食料的方（食疗方）,logs/userstudy/P005/SYS-R4/A-L2-02.json,Y,N,,Y,,66.0
101,P005,General_user,1,SYS-R4,A-L3-02,A,L3,2026-04-09 09:26:26,2026-04-09 09:28:43,,未发现足够直接的谓词证据，暂不作确定判断。,logs/userstudy/P005/SYS-R4/A-L3-02.json,Y,N,,Y,,137.0
102,P005,General_user,1,SYS-R4,A-L3-01,A,L3,2026-04-09 09:29:05,2026-04-09 09:30:59,,瓜 —hasNature→ 平,logs/userstudy/P005/SYS-R4/A-L3-01.json,Y,N,,Y,,114.0
103,P005,General_user,1,SYS-R4,A-L4-02,A,L4,2026-04-09 09:31:11,2026-04-09 09:33:47,,原文信息可能支持该结论，不过需要结合前后文进一步判断。,logs/userstudy/P005/SYS-R4/A-L4-02.json,Y,N,,Y,,156.0
104,P005,General_user,1,SYS-R4,A-L4-01,A,L4,2026-04-09 09:34:09,2026-04-09 09:36:43,,证据更充分的关系为：睡乡散 —recordedInText→ 《饮食谱》；理由：论元与谓词位于同句或同一处方段落。,logs/userstudy/P005/SYS-R4/A-L4-01.json,Y,N,,Y,,154.0
105,P005,General_user,1,SYS-R4,A-L5-02,A,L5,2026-04-09 09:36:59,2026-04-09 09:41:21,,候选关系应按原文作用范围判断；本片段可保留：油 —hasNature→ 凉，跨段推断不应采纳。,logs/userstudy/P005/SYS-R4/A-L5-02.json,Y,N,,Y,,262.0
106,P005,General_user,1,SYS-R4,A-L5-01,A,L5,2026-04-09 09:41:31,2026-04-09 09:44:51,,候选关系应按原文作用范围判断；本片段可保留：水 —hasNature→ 寒，跨段推断不应采纳。,logs/userstudy/P005/SYS-R4/A-L5-01.json,Y,N,,Y,,200.0
107,P005,General_user,1,SYS-R4,A-L6-01,A,L6,2026-04-09 09:45:07,2026-04-09 09:49:52,,证据链：冻结原文 → 实体识别 → 油 —hasNature→ 大寒 → 上下文范围核验。,logs/userstudy/P005/SYS-R4/A-L6-01.json,Y,N,,Y,,285.0
108,P005,General_user,1,SYS-R4,A-L6-02,A,L6,2026-04-09 09:50:14,2026-04-09 09:54:14,,倾向于认为候选关系成立，但未能给出完整证据链。,logs/userstudy/P005/SYS-R4/A-L6-02.json,Y,N,,Y,,240.0
